Nome,Ano,Autor,Referência
Genetic algorithm (GA),1975,Holland,"Holland JH (1975) Adaptation in natural and artificial systems. MIT Press, Cambridge"
Micro GA,1989,Krishnakumar,"Krishnakumar K (1989) Micro-genetic algorithms for stationary and non-stationary function optimization. In: SPIE proceedings:intelligent control and adaptive systems, pp 289–296"
Cellular GA,1989,Manderick et al.,"Manderick B, Spiessens P (1989) Fine-grained parallel genetic algorithm. In: Proceedings of the third international conferenceon genetic algorithms, pp 428–433"
Genetic programming (GP),1992,Koza,"Koza J (1992) Genetic programming: on the programming of computers by means of natural selection. MIT Press, Cambridge"
Non-dominated sorting GA (NSGA),1994,Srinivas et al.,"Srinivas N, Deb K (1994) Muiltiobjective optimization using nondominated sorting in genetic algorithms. Evol Comput2(3):221–248"
Contextual GA,1995,Rocha,"Rocha LM (1995) Contextual genetic algorithms: evolving developmental rules. In: Advances in artificial life, pp 368–382"
Grouping GA,1996,Falkenauer,"Falkenauer E (1996) The grouping genetic algorithm. In: State of the art in global optimization, pp 249–265"
Quantum-inspired GA,1996,Narayanan et al.,"Narayanan A, Moore M (1996) Quantum-inspired genetic algorithms. In: Proceedings of the IEEE international conferenceon evolutionary computation, pp 61–66"
Linkage learning GA,1997,Harik,"Harik GR (1997) Learning gene linkage to efficiently solve problems of bounded difficulty using genetic algorithms, Ph.D.thesis. University of Michigan"
Differential evolution (DE),1997,Storn et al. ,"Storn R, Price K (1997) Differential evolution—a simple and efficient heuristic for global optimization over continuousspaces. J Glob Optim 11:341–359"
Island GA,1998,Whitley et al.,"Whitley D, Rana S, Heckendorn RB (1998) The island model genetic algorithm: on separability, population size and conver-gence. J Comput Inf Technol 7:33–47"
Non-dominated sorting GA II,2000,Deb et al.,"Deb K, Agrawal S, Pratap A, Meyarivan T (2000) A fast elitist non-dominated sorting genetic algorithm for multi-objectiveoptimization: NSGA-II. In: Proceedings of the internationalconference on parallel problem solving from nature, pp 849–858"
Cartesian GP,2000,Miller et al.,"Miller JF, Thomson P (2000) Cartesian genetic programming. In: Proceedings of the 3rd European conference on geneticprogramming, pp 121–132"
Grammar-guided GP,2000,Ratle et al.,"Ratle A, Sebag M (2000) Genetic programming and domain knowledge: beyond the limitations of grammar-guided machinediscovery. In: Proceedings of the 6th international conference onparallel problem solving from nature—PPSN VI, pp 211–220"
Interactive GA,2001,Takagi,Takagi H (2001) Interactive evolutionary computation: fusion of the capabilities of EC optimization and human evaluation. ProcIEEE 89(9):1275–1296
Gene expression programming,2001,Ferreira,Ferreira C (2001) Gene expression programming: a new adaptive algorithm for solving problems. Complex Syst13(2):87–129
Jumping gene GA,2004,Man et al.,"Man KF, Chan TM, Tang KS, Kwong S (2004) Jumping-genes in evolutionary computing. In: Proceedings of the IEEE IECON2004, pp 1268–1272"
SaDE ,2005,Qin et al. ,"Qin AK, Suganthan PN (2005) Self-adaptive differential evolution algorithm for numerical optimization. In: IEEE Congresson evolutionary computation, vol 2, pp 1785–1791"
Dynamic rule-based GA,2006,He et al.,"He Y, Hui C-W (2006) Dynamic rule-based genetic algorithm for large-size single-stage batch scheduling. Comput-AidedChem Eng 21:1911–1916"
Hierarchical cellular GA,2006,Janson et al.,"Janson S, Alba E, Dorronsoro B, Middendorf M (2006) Hierarchical cellular genetic algorithm. In: Proceedings of theEuropean conference on evolutionary computation in combina-torial optimization, EvoCOP, pp 111–122"
jDE ,2006,Brest et al. ,"Brest J, Greiner S, Boskovic B, Mernik M, Zumer V (2006) Self-adapting control parameters in differential evolution: acomparative study on numerical benchmark problems. IEEETrans Evol Comput 10(6):646–657"
Chaotic DE,2007,Wang et al. ,"Wang Y-J, Zhang J-S (2007) Global optimization by an improved differential evolutionary algorithm. Appl Math Com-put 188:669–680"
JADE ,2009,Zhang et al. ,"Zhang J, Sanderson AC (2009) JADE: adaptive differential evolution with optional external archive. IEEE Trans EvolComput 13(5):945–958"
EPSDE ,2011,Mallipeddi et al. ,"Mallipeddi R, Suganthan PN, Pan QK, Tasgetiren MF (2011) Differential evolution algorithm with ensemble of parametersand mutation strategies. Appl Soft Comput 11(2):1679–1696"
CoDE ,2011,Wang et al. ,"Wang Y, Cai Z, Zhang Q (2011) Differential evolution with composite trial vector generation strategies and control param-eters. IEEE Trans Evol Comput 15(1):55–66"
Multi-population DE,2011,Yu et al. ,"Yu W, Zhang J (2011) Multi-population differential evolution with adaptive parameter control for global optimization. In:Proceedings of the GECCO 2011, pp 1093–1098"
Multi-gene GP,2012,Kaydani et al. ,"Gandomi AH, Alavi AH (2012) A new multi-gene genetic programming approach to nonlinear system modeling. Part I:materials and structural engineering problems. Neural ComputAppl 21(1):171–187"
Geometric semantic GP,2012,Moraglio et al. ,"Moraglio A, Krawiec K, Johnson CG (2012) Geometric semantic genetic programming. In: Proceedings of the interna-tional conference on parallel problem solving from nature—PPSN XII, pp 21–31"
ACDE ,2013,Choi et al. ,"Choi TJ, Ahn CW, An J (2013) An adaptive cauchy differential evolution algorithm for global numerical optimization. SciWorld J 2013, article ID: 969734, 12 pages"
Non-dominated sorting GA III,2014,Deb et al.,"Deb K, Jain H (2014) An evolutionary many-objective optimization algorithm using reference-point-based nondominatedsorting approach, part I: solving problems with box constraints.IEEE Trans Evol Comput 18(4):577–601"
Improved JADE,2014,Yang et al. ,"Yang M, Cai Z, Li C, Guan J (2014) An improved JADE algorithm for global optimization. In: IEEE congress on evolu-tionary computation (CEC), pp 806–812"
Extended adaptive Cauchy DE,2014,Choi et al. ,"Choi TJ, Ahn CW (2014) An adaptive cauchy differential evolution algorithm with bias strategy adaptation mechanism forglobal numerical optimization. J Comput 9(9):2139–2145"
jDErpo ,2014,Brest et al. ,"Brest J, Zamuda A, Fister I, Boskovic B (2014) Some improvements of the self-adaptive jDE algorithm. In: IEEEsymposium on differential evolution (SDE), pp 1–8"
RDEL ,2014,Ali,Ali WM (2014) RDEL: restart differential evolution algorithm with local search mutation for global numerical optimization.Egypt Inf J 15(3):175–188
Surrogate GP,2015,Kattan et al. ,"Kattan A, Ong Y (2015) Surrogate genetic programming: a semantic aware evolutionary search. Inf Sci 296:345–359"
Memetic semantic GP,2015,Ffrancon et al. ,"Ffrancon R, Schoenauer M (2015) Memetic semantic genetic programming. In: Proceedings of the annual conference ongenetic and evolutionary computation, GECCO, pp 1023–1030Haeri MA, Ebadzadeh MM, Folino G (2017) Statistical geneticprogramming for symbolic regression. Appl Soft Comput60:447–469"
Colonial competitive DE,2016,Ghasemi et al.,"Ghasemi M, Taghizadeh M, Ghavidel S, Abbasian A (2016) Colonial competitive differential evolution: an experimentalstudy for optimal economic load dispatch. Appl Soft Comput40:342–363"
Memory-based DE,2016,Parouha et al.,"Parouha RP, Das KN (2016) A memory based differential evolution algorithm for unconstrained optimization. Appl SoftComput 38:501–517"
Tribe competition-based GA,2017,Ma et al.,"Ma B, Xia Y (2017) A tribe competition-based genetic algorithm for feature selection in pattern classification. Appl SoftComput 58:328–338"
Fluid GA,2017,Jafari-Marandi et al.,"Jafari-Marandi R, Smith BK (2017) Fluid genetic algorithm (FGA). J Comput Des Eng 4:158–167"
Statistical GP,2017,Haeri et al. ,"Haeri MA, Ebadzadeh MM, Folino G (2017) Statistical genetic programming for symbolic regression. Appl Soft Comput 60:447–469"
SQG-DE,2017,Sala et al.,"Sala R, Baldanzini N, Pierini M (2017) SQG-differential evolution for difficult optimization problems under a tight functionevaluation budget. In: Proceedings of the international workshopon machine learning, optimization, and big data, pp 322–336"
UDE ,2017,Trivedi et al.,"Trivedi A, Sanyal K, Verma P, Srinivasan D (2017) A unified differential evolution algorithm for constrained optimizationproblems. In: Proceedings of the IEEE Congress on evolutionarycomputation (CEC), pp 1231–1238"
Block-based GA,2018,Tseng et al.,"Tseng H-E, Chang C-C, Lee S-C, Huang Y-M (2018) A blockbased genetic algorithm for disassembly sequence planning.Expert Syst Appl 96:492–505"
